Language	ISO 639-3	hh.bib key	ideophone (prop)	ideophone (freq)	all (freq)	idêophone (prop)	idêophone (freq)	all (freq)
Ndobo	ndw	s:Mangulu:Ndobo	0	0	75307	0.000192493	1	5195
Bamwe	bmg	s:Mangulu:Libobi	0	0	75307	0.000189538	1	5276
Baoulé	bci	s:NGuessan:Baoule	0	0	118826	0.000180734	1	5533
Lombo	loo	s:Carrington:Olombo	0	0	5727	0.000174611	1	5727
Barasana-Eduria	bsn	s:Gomez-Imbert:Barasana:2003	0	0	5961	0.000167757	1	5961
Zulgo-Gemzek	gnd	s:Gravina:Gemzek	0.000253839	2	7879	0.00012692	1	7879
Bemba (Zambia)	bem	s:Hoch:Bemba	0	0	10098	9.90E-05	1	10098
Northern Ngbandi	ngb	g:Toronzoni:Ngbandi	0	0	144548	5.99E-05	1	16694
Hamba de Lomela	hba	s:Onawongo:Tetela-Loja	0	0	22511	4.44E-05	1	22511
Zulu	zul	s:Hallowes:Baca	0.000200723	5	24910	4.01E-05	1	24910
Khmu	kjg	s:Smalley:Khmu	0	0	28058	3.57E-05	1	28005
Luyi	lyn	s:Givon:Si-Luyana	0	0	32997	3.03E-05	1	32997
Lozi	loz	typ:Kamwengo:Lozi	0.000143324	5	34886	2.87E-05	1	34886
Sango	sag	g:Samarin:Sango:1970	0	0	38526	2.86E-05	1	34942
Kharam Naga	kfw	g:Singh:Kharam	2.76E-05	1	36249	2.76E-05	1	36249
Zulu	zul	g:Canonici:Zulu	0.000101685	4	39337	2.54E-05	1	39337
Láá Láá Bwamu	bwj	s:Pfurtscheller:Bwamu-Laa	0	0	41739	2.40E-05	1	41739
Lokono	arw	g:Patte:Arawak	0	0	48407	2.07E-05	1	48407
Southern Bobo Madaré	bwq	g:Sanou:Bobo	0	0	49464	2.02E-05	1	49464
Obdorsk Khanty	NOCODE_Obdorsk-Khanty	s:Nikolaeva:Ostyak	3.72E-05	2	53821	1.86E-05	1	53821
Cashinahua	cbs	g:Kaxinawa:Hatxa-Xarabu	0	0	54273	1.84E-05	1	54273
Jukun Takum	jbu	g:Shimizu:Jukun	0.000261178	15	57432	1.74E-05	1	57432
Bakwé	bjw	typ:Leidenfrost:Bakwe	0	0	59233	1.69E-05	1	59233
Cashinahua	cbs	g:Kaxinawa:Hatxa-Gramatica	0	0	60321	1.66E-05	1	60321
Ga	gaa	typ:Kotey:Ga	0	0	62358	1.60E-05	1	62358
Sanumá	xsu	g:Borgman:Sanuma	0.000354468	23	64886	1.54E-05	1	64886
Teke-Kukuya	kkw	s:Paulian:Kukuya	0	0	65696	1.52E-05	1	65696
