Language	ISO 639-3	hh.bib key	ideophone (prop)	ideophone (freq)	all (freq)	idêophone (prop)	idêophone (freq)	all (freq)
Continental Southern Italian	nap	g:Ledgeway:Napoletano	0	0	593496	0	0	593496
Continental Southern Italian	nap	g:Capozzoli:Napoletano	0	0	102891	0	0	102891
Continental Southern Italian	nap	s:Wentrup:Neapolitanischen	0	0	505	0	0	505
Continental Southern Italian	nap	g:Iannacito:Molisano	0	0	75690	0	0	75690
Continental Southern Italian	nap	s:Ludtke:Lucania	0	0	1580	0	0	1580
Continental Southern Italian	nap	s:Sornicola:Campania	0	0	100345	0	0	100345
Nama (Namibia)	naq	hs:Muller:Novara-Linguistischer	0	0	114593	0	0	114593
Nama (Namibia)	naq	s:deCharencey:Nama	0	0	6224	0	0	6224
Nama (Namibia)	naq	s:Seidel:Nama	0	0	22447	0	0	22447
Nama (Namibia)	naq	typ:Andersson:Khoisan	0	0	0	0	0	0
Nama (Namibia)	naq	es:Olpp:Nama	0	0	20464	0	0	20464
Nama (Namibia)	naq	es:Vedder:Bergdama	0	0	2647	0	0	2647
Nama (Namibia)	naq	g:Hagman:Nama:1977	0	0	70059	0	0	70059
Nama (Namibia)	naq	s:Haacke:Nama:1976	0	0	66362	0	0	66362
Nama (Namibia)	naq	s:Dempwolff:Nama	0	0	50350	0	0	50350
Nama (Namibia)	naq	typ:Wallmann:Nama	0	0	1019	0	0	1019
Nama (Namibia)	naq	s:Bohm:Khoe-Kowap	7.47E-06	1	133835	0	0	133835
Nama (Namibia)	naq	s:Moritz:Nama	0	0	7966	0	0	7966
Nama (Namibia)	naq	s:Witzlack-Makarevich:Nama	0	0	25720	0	0	25720
Nama (Namibia)	naq	s:Tindall:Namaqua	0	0	27635	0	0	27635
Nama (Namibia)	naq	s:Schils:Nama	0	0	75272	0	0	75272
Nama (Namibia)	naq	s:Haacke:Sesfontein	0.000253133	2	7901	0	0	7901
Nama (Namibia)	naq	s:Olpp:Nama	0	0	46759	0	0	46759
Nama (Namibia)	naq	g:Hagman:Nama	0	0	74852	0	0	74852
Naasioi	nas	g:HurdHurd:Nasioi	0	0	19418	0	0	19418
Naasioi	nas	typ:Hurd:Projectives	0	0	14048	0	0	14048
Naasioi	nas	s:HurdHurd:Nasioi	0	0	79441	0	0	79441
Nauru	nau	es:Hambruch:Nauru:1914	0	0	177404	0	0	177404
Nauru	nau	s:Kayser:Nauru	0	0	88727	0	0	88727
Navajo	nav	g:YoungMorgan:Navajo	0	0	279170	0	0	279170
Navajo	nav	g:Goossen:Navajo	0	0	54520	0	0	54520
Navajo	nav	g:Williams:Navajo	0	0	86708	0	0	86708
Navajo	nav	g:SapirHoijer:Navaho	0	0	67727	0	0	67727
Navajo	nav	sd:YoungMorgan:Navaho	0	0	186351	0	0	186351
Navajo	nav	g:Haile:Navaho	0	0	141686	0	0	141686
Navajo	nav	s:Feltes-Strigler:Navajo	0	0	58017	0	0	58017
Navajo	nav	typ:Schaengold:Navajo	0	0	58386	0	0	58386
Navajo	nav	g:Reichard:Navaho	0	0	312319	0	0	312319
Nawuri	naw	s:Lange:Nawuri	0	0	40241	0	0	40241
Nawuri	naw	g:Sherwood:Nawuri	4.35E-05	4	91866	0	0	91866
Narrinyeri	nay	s:Bannister:Ngarrindjeri	0	0	25543	0	0	25543
Narrinyeri	nay	s:Taplin:Narrinyeri:1880	0	0	6487	0	0	6487
Narrinyeri	nay	s:Yallop:Narinjari	0	0	17886	0	0	17886
Narrinyeri	nay	s:Meyer:Narrinyeri	0	0	31628	0	0	31628
Nyemba	nba	g:Zavoni:Ngangela	0	0	63164	0	0	63164
Nyemba	nba	s:Lecomte:Ganguela	0	0	49733	0	0	49733
Chang Naga	nbc	s:Hutton:Chang:1929	0	0	24871	0	0	24871
Chang Naga	nbc	s:Chor:Chang	0	0	13183	0	0	13183
Chang Naga	nbc	s:Hutton:Chang	0	0	23040	0	0	23040
Konyak Naga	nbe	g:Nagaraja:Konyak	0	0	47405	0	0	47405
Ngamo	nbh	s:Ibriszimow:Ngamo	0	0	3499	0	0	3499
Ngamo	nbh	typ:GrubicZimmermann:Ngamo	0	0	5555	0	0	5555
Mao Naga	nbi	g:Giridhar:MaoNaga	0.000172586	20	115884	0	0	121034
Ngarinman	nbj	g:MeakinsNordlinger:Bilinarra	1.20E-05	2	166327	0	0	166327
Ngarinman	nbj	s:Nordlinger:Bilinarra	0	0	39737	0	0	39737
Sumayela Ndebele	nbl	g:Ziervogel:Northern-Transvaal-Ndebele	0.000315708	25	79187	0	0	79187
Sumayela Ndebele	nbl	vtyp:Wilkes:Mbo	0	0	0	0	0	0
Ngbaka Ma'bo	nbm	typ:ThomasBouquiaux:Ngbaka-Bokanga	0	0	142101	0	0	142101
Ngbaka Ma'bo	nbm	g:Thomas:Ngbaka	0	0	141924	0	0	141924
Nggem	nbq	g:Etherington:Nggem	0	0	73943	0	0	73943
Na	nbt	s:Pertin:Nah	0	0	13212	0	0	13212
Rongmei Naga	nbu	g:Tiwari:Kabui	0	0	31388	0	0	31388
Rongmei Naga	nbu	s:Thoudam:Kabui	0	0	10101	0	0	10101
Rongmei Naga	nbu	g:Devi:Inpui	0	0	32029	0	0	32029
Ngura	nbx	g:McDonaldWurm:Wangkumara	0	0	3917	0	0	3917
Iyo	nca	s:Minter:Iyo	0	0	37361	0	0	37361
Central Nicobarese	ncb	typ:Rajasingh:Muot	0	0	121662	0	0	121662
Central Nicobarese	ncb	s:Temple:Languages-Nicobar	0	0	16966	0	0	16966
Central Nicobarese	ncb	s:Das:Nicobarese	0	0	19231	0	0	19231
Central Nicobarese	ncb	s:Radhakrishnan:Nancowry	0	0	42087	0	0	42087
Central Nicobarese	ncb	typ:Rajasingh:Muot:Negators	0	0	6062	0	0	6062
Central Nicobarese	ncb	g:Radhakrishnan:Nancowry	0	0	53154	0	0	53154
Central Nicobarese	ncb	s:Rajasingh:Muot	0	0	14360	0	0	14360
Yale	nce	s:CampbellCampbell:Yade	0	0	32166	0	0	32166
Notsi	ncf	s:McCarthy:Notsi	0	0	89200	0	0	89200
Nisga'a	ncg	g:Tarpent:Nisgha	0	0	203813	0	0	203813
Classical Nahuatl	nci	g:Carochi:Mexicana	0	0	94098	0	0	94098
Classical Nahuatl	nci	s:deMolina:Mexicana	0	0	244	0	0	244
Classical Nahuatl	nci	s:deArenas:Mexicana	0	0	16888	0	0	16888
Classical Nahuatl	nci	s:Palma:Mejicana	0	0	1141	0	0	1141
Classical Nahuatl	nci	g:Andrews:Classical-Nahuatl	0	0	317687	0	0	317687
Classical Nahuatl	nci	typ:Steele:Classical-Aztec	0	0	7917	0	0	7917
Classical Nahuatl	nci	g:Olmos:Nahuatl	0	0	83494	0	0	83494
Classical Nahuatl	nci	s:delRincon:Mexicana:1885	0	0	20944	0	0	20944
Classical Nahuatl	nci	std:Bierhorst:Nahuatl	0	0	256857	0	0	256857
Classical Nahuatl	nci	g:Sullivan:Nahuatl	0	0	93272	0	0	93272
Classical Nahuatl	nci	s:Aldama:Mexicana	0	0	505	0	0	505
Classical Nahuatl	nci	g:Launey:Nahuatl:2011	0	0	175252	0	0	175252
Classical Nahuatl	nci	s:deMolina:Mexicana:2014	0	0	155400	0	0	155400
Classical Nahuatl	nci	g:Carr:Nahuatl	0	0	136730	0	0	136730
Classical Nahuatl	nci	s:Sanchez:Amerindias	0	0	39840	0	0	39840
Classical Nahuatl	nci	g:Launey:Nahuatl-Classique	0	0	93308	0	0	93308
Classical Nahuatl	nci	s:delRincon:Mexicana	0	0	20527	0	0	20527
Classical Nahuatl	nci	g:Launey:Nahuatl	0	0	125040	0	0	125040
Classical Nahuatl	nci	g:CampbellKarttunen:Nahuatl	0	0	89540	0	0	89540
Classical Nahuatl	nci	g:Launey:Nahuatl:1986	0	0	8661	0	0	8661
Classical Nahuatl	nci	g:delaGrasserie:Nahuatl	0	0	95024	0	0	95024
Classical Nahuatl	nci	s:Sandoval:Mexicana	0	0	16604	0	0	16604
Northern Puebla Nahuatl	ncj	s:Brockway:NPuebla	0	0	103663	0	0	103663
Nakara	nck	g:Eather:Nakkara:2011	0	0	126523	0	0	126523
Nakara	nck	g:Eather:Nakkara	0	0	131067	0	0	131067
Michoacán Nahuatl	ncl	s:Sischo:Michoacan	0	0	103663	0	0	103663
Michoacán Nahuatl	ncl	s:Guerra:Mexicana-Guadalajara	0	0	31140	0	0	31140
Michoacán Nahuatl	ncl	g:Cortes:Mexicano-Guadalaxara	0	0	66009	0	0	66009
Michoacán Nahuatl	ncl	s:Valinas:Jalisco	0	0	6165	0	0	6165
Michoacán Nahuatl	ncl	s:SischoHollenbach:Michoacan	0	0	33885	0	0	33885
Ncane	ncr	s:Boutwell:Mungong	0	0	10075	0	0	10075
Ncane	ncr	s:Boutwell:Nchane	0	0	8412	0	0	8412
Chothe	nct	g:Singh:Chothe	0	0	47746	0	0	47746
Chothe	nct	g:Singh:Chothe:2000	0	0	57316	0	0	57316
Chumburung	ncu	g:Hansford:Chumburung	0.000260402	28	107526	0	0	135366
Chumburung	ncu	phontyp:Snider:Guang	0	0	12260	0	0	12260
Natchez	ncz	s:Kimball:Natchez	0	0	22746	0	0	22746
Kenswei Nsei	ndb	typ:Lonbeck:Kenswei	0	0	9376	0	0	9376
Ndau	ndc	sd:Wilderetal:Chindau	0	0	54055	0	0	54055
Ndau	ndc	vtyp:Chambela:Xinyai	0	0	12374	0	0	12374
Zimbabwean Ndebele	nde	typ:Moosally:Ndebele	0	0	53353	0	0	53353
Zimbabwean Ndebele	nde	s:BowernLotridge:Ndebele	0	0	29235	0	0	29235
Zimbabwean Ndebele	nde	g:ONeil:Sindebele	0	0	44294	0	0	44294
Zimbabwean Ndebele	nde	typ:Khumalo:Ndebele	0.000821423	35	42609	0	0	42609
Zimbabwean Ndebele	nde	typ:Khumalo:Ndebele:Passive	0	0	83482	0	0	83482
Zimbabwean Ndebele	nde	s:ONeil:Sindebele	0	0	26391	0	0	26391
Ndengereko	ndg	g:Strom:Ndengeleko	1.22E-05	1	82201	0	0	82201
Ndali	ndh	typ:Kershner:Chisukwa	0	0	66793	0	0	66793
Ndali	ndh	typ:Vail:Ndali	0	0	8665	0	0	8665
Ndali	ndh	typ:Mtenje:Cindali	0	0	5828	0	0	5828
Ndali	ndh	typ:Swilla:Tenses-Chindali	0	0	8842	0	0	8842
Ndali	ndh	typ:Botne:Chindali	0	0	9051	0	0	9051
Ndali	ndh	g:Botne:Chindali	0.000496513	22	44309	0	0	44309
Samba Leko	ndi	s:Essamba:Samba	0	0	20053	0	0	20053
Samba Leko	ndi	g:Fabre:SambaLeko:2002	0	0	201371	0	0	201371
Samba Leko	ndi	typ:Kong:Samba-Leeko	0	0	28584	0	0	28584
Ndamba	ndj	g:Novotna:Ndamba	1.23E-05	1	81515	0	0	81515
Ndam	ndm	s:Bross:Ndam	0	0	25047	0	0	25047
Ndonga	ndo	g:Fivaz:Oshindonga	0.000745234	36	48307	0	0	48307
Ndonga	ndo	s:Craneetal:Oshindonga	0	0	15841	0	0	15841
Ndonga	ndo	g:ViljoenAmakali:Oshiwambo	9.99E-05	4	40056	0	0	40056
Eastern Low German	nds	s:Wiggers:Mecklenburgisch-Vorpommerschen	0	0	505	0	0	505
Eastern Low German	nds	s:Schonfeld:East-Low-German	0	0	217165	0	0	217165
Eastern Low German	nds	s:Mackel:Prignitz	0	0	91452	0	0	91452
Eastern Low German	nds	s:GoltzWalker:North-Saxon	0	0	217165	0	0	217165
Eastern Low German	nds	g:Schonhoff:Emslandische	0	0	1019	0	0	1019
Eastern Low German	nds	s:Ritter:Mecklenburgisch	0	0	1019	0	0	1019
Ndunga	ndt	s:deBoeck:Mondunga	0	0	13910	0	0	13910
Ndut	ndv	g:Morgan:Ndut	0	0	75328	0	0	75328
Ndut	ndv	s:Pichl:Ndout	0	0	17939	0	0	17939
Ndogo	ndz	s:Ribero:Ndogo	0	0	17287	0	0	17287
Toura (Côte d'Ivoire)	neb	s:Idiatov:Tura	0	0	4037	0	0	4037
Toura (Côte d'Ivoire)	neb	g:Bearth:Toura	2.60E-05	4	154026	0	0	154026
Kumak	nee	g:Bril:Nelemwa	0	0	175093	0	0	175093
Kumak	nee	g:Haudricourt:Nenemas	0	0	1448	0	0	1448
Negidal	neg	st:Kazama:Negidal	0	0	60763	0	0	60763
Negidal	neg	g:Tsintius:Negidalskij	0	0	362187	0	0	362187
Neku	nek	typ:Osumi:Neku	0	0	4883	0	0	4883
Nengone	nen	g:Tryon:Nengone	0	0	22004	0	0	22004
Nengone	nen	typ:Bearune:Nengone	0	0	100280	0	0	100280
Nyaheun	nev	s:Davis:Nyaheun	0	0	2300	0	0	2300
Kathmandu Valley Newari	new	g:HaleShrestha:Newar	0	0	94107	0	0	94107
Kathmandu Valley Newari	new	s:Korolev:Nevarskij	0	0	181699	0	0	181699
Kathmandu Valley Newari	new	s:Sthapit:Newari	0	0	19658	0	0	19658
Kathmandu Valley Newari	new	s:Baskaran:Newari	0	0	10300	0	0	10300
Kathmandu Valley Newari	new	g:Maskey:Conversational-Newari	0	0	69616	0	0	69616
Kathmandu Valley Newari	new	g:Jorgensen:Newari	0	0	36580	0	0	36580
Kathmandu Valley Newari	new	s:Malla:Newari	0	0	25526	0	0	25526
Kathmandu Valley Newari	new	s:Conrady:Newari	0	0	14568	0	0	14568
Kathmandu Valley Newari	new	g:Manandhar:Newari	0	0	92369	0	0	92369
Kathmandu Valley Newari	new	typ:Hargreaves:Kathmandu-Newari	0	0	56838	0	0	56838
Kathmandu Valley Newari	new	typ:Weidert:Classifier	0	0	7184	0	0	7184
Kathmandu Valley Newari	new	s:Hargreaves:Kathmandu	0	0	5666	0	0	5666
Neyo	ney	g:Thomann:Neouole	0	0	1241	0	0	1241
Neyo	ney	g:Grah:Niwoli	0	0	64023	0	0	64023
Nez Perce	nez	styp:Deal:Nez-Perce	0	0	121461	0	0	121461
Nez Perce	nez	g:Aoki:Nez	0	0	31277	0	0	31277
Nez Perce	nez	s:Crook:Nez-Perce	0	0	106185	0	0	106185
Nez Perce	nez	s:Rude:Nez-Perce	0	0	9446	0	0	9446
Nez Perce	nez	g:Aoki:Nez:1965	0	0	59189	0	0	59189
Nez Perce	nez	typ:Cash:Nez-Perce	0	0	17430	0	0	17430
Nez Perce	nez	g:Rude:Nez	0	0	170842	0	0	170842
Dhao	nfa	typ:Balukh:Adjective-Dhao	0	0	13602	0	0	13602
Dhao	nfa	s:Walker:Ndao	0	0	4323	0	0	4323
Ayiwo	nfl	typ:Wurm:Aiwoo:Change	0	0	5144	0	0	5144
Ayiwo	nfl	typ:Frostad:Aiwoo	0	0	30484	0	0	30484
Ayiwo	nfl	typ:Wurm:Aiwo:1981	0	0	10359	0	0	10359
Ayiwo	nfl	typ:Wurm:Santa-Cruz:1986	0	0	7038	0	0	7038
Ayiwo	nfl	typ:Wurm:Aiwo	0	0	9179	0	0	9179
Ngbaka Minagende	nga	typ:Maes:Ngbaka	0	0	5198	0	0	5198
Ngbaka Minagende	nga	s:Englund:Ngbaka	0	0	12806	0	0	12806
Ngbaka Minagende	nga	sd:Maes:Ngbaka	0	0	75612	0	0	75612
Northern Ngbandi	ngb	sd:Lekens:Ngbanditaal	0	0	87645	0	0	87645
Ngombe (Democratic Republic of Congo)	ngc	s:Mangulu:Bendza	0.000418702	6	14330	0	0	14330
Ngombe (Democratic Republic of Congo)	ngc	s:Mangulu:Mabinja	0	0	3460	0	0	3460
Ngombe (Democratic Republic of Congo)	ngc	typ:Mangulu:Ngombe	0	0	152676	0	0	152676
Ngombe (Democratic Republic of Congo)	ngc	s:Mangulu:Babale-Dua	0	0	8646	0	0	8646
Ngemba	nge	g:Leroy:Mankon	0	0	206467	0	0	206467
Ngemba	nge	typ:Swiri:Mankon	0	0	17325	0	0	17325
Ngemba	nge	s:Ngum:Mankon	0	0	27094	0	0	27094
Ngemba	nge	g:Leroy:Mankon:2003	0	0	206604	0	0	206604
Ngbaka Manza	ngg	g:Selezilo:Ngbaka	0	0	40523	0	0	40523
N/u	ngh	s:CollinsNamaseb:Nuuki	0	0	34204	0	0	34204
N/u	ngh	s:Guldemann:Ngke	0	0	7550	0	0	7550
N/u	ngh	s:Maingard:Khomani	0	0	17075	0	0	17075
Ngizim	ngi	g:Schuh:Ngizim	4.64E-05	5	107838	0	0	107838
Ngie	ngj	s:Florence:Ngie	0	0	18006	0	0	18006
Ngalkbun	ngk	typ:Ponsonnet:Dalabon	0	0	213443	0	0	213443
Ngalkbun	ngk	styp:Cutfield:Dalabon	2.41E-05	3	124525	0	0	124525
Mozambique Lomwe	ngl	sd:Bonalumi:Lomwe	0	0	84444	0	0	84444
Mozambique Lomwe	ngl	s:Bawman:Lomue	0	0	18668	0	0	18668
Ngoni	ngo	s:Ngonyani:Chingoni	0.000350653	11	31370	0	0	31370
Ngoni	ngo	s:Spiss:Kingoni	0	0	15976	0	0	15976
Ngoni	ngo	s:Elmslie:Ngoni	0	0	17535	0	0	17535
Nanggu	ngr	g:Vaa:Engdewu	0	0	183126	0	0	183126
Kriang-Khlor	ngt	s:Chia:Ngeq	0	0	24238	0	0	24238
Central Guerrero Nahuatl	ngu	ssoc:Flores:Nahuatl:1995	0	0	101647	0	0	101647
Central Guerrero Nahuatl	ngu	ssoc:Flores:Nahuatl	0	0	44576	0	0	44576
Central Guerrero Nahuatl	ngu	typ:AmithSmith-Stark:Guerrero-Nahuatl:Transitive	0	0	135	0	0	135
Central Guerrero Nahuatl	ngu	g:Mason:Nahuatl	0	0	17325	0	0	17325
Central Guerrero Nahuatl	ngu	g:Perez:Mexicano	0	0	27751	0	0	27751
Tibea	ngy	s:Djouonzo:Tiba	0	0	76885	0	0	76885
Nhanda	nha	g:Blevins:Nhanda	0	0	54972	0	0	54972
Beng	nhb	sd:GottliebMurphy:Beng	0	0	50402	0	0	50402
Beng	nhb	s:Paperno:Beng:2014	2.42E-05	1	41255	0	0	41255
Beng	nhb	typ:Paesler:Beng	0	0	5114	0	0	5114
Chiripá	nhd	st:Nogueira:Guarani	0	0	199	0	0	199
Eastern Huasteca Nahuatl	nhe	s:Lastra:Nahuatl	0	0	26318	0	0	26318
Eastern Huasteca Nahuatl	nhe	typ:Peregrina:Nahuatl-Huasteca-Veracruzana	0	0	81202	0	0	81202
Eastern Huasteca Nahuatl	nhe	g:BellerBeller:Huasteca	0	0	103663	0	0	103663
Eastern Huasteca Nahuatl	nhe	typ:Peregrina:Nahuatl-Huasteca-Veracruzana:2009	0	0	8921	0	0	8921
Eastern Huasteca Nahuatl	nhe	s:Beatriz:Nahuatl	0	0	13189	0	0	13189
Eastern Huasteca Nahuatl	nhe	styp:Cruz:Nahuatl-Teposteco	0	0	38565	0	0	38565
Tetelcingo Nahuatl	nhg	g:Tuggy:Tetelcingo-Nahuatl:1979	0	0	103663	0	0	103663
Tetelcingo Nahuatl	nhg	g:Tuggy:Tetelcingo	0	0	214980	0	0	214980
Tetelcingo Nahuatl	nhg	s:Pittman:Tetelcinco	0	0	28750	0	0	28750
Zacatlán-Ahuacatlán-Tepetzintla Nahuatl	nhi	s:Bartholomew:Nahuatl-San-Miguel-Tenango	0	0	17002	0	0	17002
Morelos Nahuatl	nhm	sd:Hansen:Hueyapan-Nahuatl	0	0	32812	0	0	32812
Morelos Nahuatl	nhm	s:Montero:Hueyapan-Nahuatl	0	0	22237	0	0	22237
Morelos Nahuatl	nhm	s:Guzman:Nahuatl-Santa-Catarina:1979	0	0	26105	0	0	26105
Morelos Nahuatl	nhm	s:Whorf:Milpa	0	0	198929	0	0	198929
Morelos Nahuatl	nhm	typ:Hansen:Hueyapan-Nahuatl	0	0	11608	0	0	11608
Tlaxcala-Puebla-Central Nahuatl	nhn	s:LastraHorcasitas:Nahuatl-Tlaxcala	0	0	14031	0	0	14031
Tlaxcala-Puebla-Central Nahuatl	nhn	s:Foster:Chiconcuac	0	0	136287	0	0	136287
Tlaxcala-Puebla-Central Nahuatl	nhn	essoc:HillHill:Mexicano	0	0	160163	0	0	160163
Tlaxcala-Puebla-Central Nahuatl	nhn	typ:Najera:Tlaxcala-Nahuatl	0	0	9166	0	0	9166
Takuu	nho	sd:Moyle:Takuu	0	0	219454	0	0	219454
Isthmus-Pajapan Nahuatl	nhp	s:Koji:Nahuatl-Pajapan	0	0	28268	0	0	28268
Isthmus-Pajapan Nahuatl	nhp	typ:Peralta:Nawat-Golfo	0	0	10456	0	0	10456
Isthmus-Pajapan Nahuatl	nhp	s:Leon:Pajapan	0	0	62340	0	0	62340
Naro	nhr	s:Visser:Naro	1.86E-05	3	161390	0	0	303251
Naro	nhr	es:Bleek:Naron	0	0	27904	0	0	27904
Naro	nhr	s:VisserVisser:Naro	0	0	9077	0	0	9077
Ometepec Nahuatl	nht	sv:Valinas:Nahuatl-Periferia-Occidental	0	0	3158	0	0	3158
Noone	nhu	typ:Hyman:Noni	1.03E-05	1	96708	0	0	96708
Noone	nhu	g:Hyman:Noni	0	0	104331	0	0	104331
Temascaltepec Nahuatl	nhv	s:SchumannGarcia:Nahual-Almomoloa	0	0	3743	0	0	3743
Western Huasteca Nahuatl	nhw	sd:Kimball:Huazalinguillo-Nahuatl	0	0	30962	0	0	30962
Isthmus-Mecayapan Nahuatl	nhx	typ:Law:Isthmus-Nahuat	0	0	13909	0	0	13909
Isthmus-Mecayapan Nahuatl	nhx	typ:Ramirez:Nahuat-Mecayapan	0	0	37707	0	0	37707
Isthmus-Mecayapan Nahuatl	nhx	g:Wohlgemuth:Mecayapan:2002	0	0	34880	0	0	34880
Isthmus-Mecayapan Nahuatl	nhx	s:Law:Isthmus-Nahuat	0	0	1404	0	0	1404
Nias	nia	s:Sundermann:Niassische:1913	0	0	62490	0	0	62490
Nias	nia	g:Brown:Nias	0	0	169027	0	0	169027
Nias	nia	s:Halawa:Nias	0	0	23693	0	0	23693
Nias	nia	s:Brown:Nias	9.94E-06	4	402554	0	0	402554
Nias	nia	s:Sundermann:Niassische	0	0	20293	0	0	20293
Ngandi	nid	std:Heath:Ngandi	0	0	76537	0	0	76537
Niellim	nie	styp:Vanderkooi:Niellim	0.000218318	15	68707	0	0	68707
Nek	nif	typ:Linnasalo:Nek	0	0	7687	0	0	7687
Ngalakan	nig	g:Merlan:Ngalakan	0	0	182319	0	0	182319
Ngalakan	nig	g:Baker:Ngalakgan	0	0	82009	0	0	82009
Nyiha (Tanzania)	nih	g:Busse:Nyiha	0	0	81051	0	0	81051
Nyiha (Tanzania)	nih	typ:Karels:Nyiha	0	0	25302	0	0	25302
Nii	nii	typ:Stucky:Nii	0	0	0	0	0	0
Nii	nii	s:StuckyStucky:Nii	0	0	21343	0	0	21343
Nii	nii	s:StuckyStucky:Nii:Grammar	0	0	4791	0	0	4791
Ngaju	nij	typ:Elbaar:Baru	0	0	23897	0	0	23897
Ngaju	nij	s:vonderGabelentz:Dajak	0	0	16019	0	0	16019
Ngaju	nij	s:Ngabut:Sangen	0	0	24976	0	0	24976
Ngaju	nij	s:Kawi:Kahayan	0	0	24929	0	0	24929
Ngaju	nij	s:Santoso:Dayak-Ngaju	0	0	19402	0	0	19402
Ngaju	nij	s:Santoso:Sangen	0	0	20617	0	0	20617
Ngaju	nij	s:Durasid:Katingan	0	0	21558	0	0	21558
Nilamba	nim	s:Johnson:Kiniramba	0	0	17018	0	0	17018
Nganasan	nio	s:Wagner-Nagy:Nganasanischen	0	0	52034	0	0	52034
Nganasan	nio	g:Tereshchenko:Ngasanskij	0	0	354911	0	0	354911
Nganasan	nio	phontypd:KorttSimcenko:Nganasanischen	0	0	100086	0	0	100086
Nganasan	nio	s:Helimski:Nganasan	0	0	296811	0	0	296811
Nganasan	nio	s:Prokofev:Nganasanskij	0	0	30544	0	0	30544
Nganasan	nio	s:Terescenko:Nganasanskij	0	0	29524	0	0	29524
Nandi	niq	es:Hollis:Nandi	0	0	148858	0	0	148858
Nandi	niq	g:CreiderCreider:Nandi	0	0	31857	0	0	31857
Nimboran	nir	g:Anceaux:Nimboran	0	0	81286	0	0	81286
Nimboran	nir	typ:Steinhauer:Nimboran:Verbal	0	0	4416	0	0	4416
Nimboran	nir	typ:Steinhauer:Nimboran:1995	0	0	6469	0	0	6469
Nimboran	nir	g:May:Nimboran	0	0	41120	0	0	41120
Southeastern Kolami	nit	s:Bhattacharya:Naiki	0	0	16616	0	0	16616
Niuean	niu	typ:Massam:Niuean	0	0	11081	0	0	11081
Niuean	niu	s:Whittaker:Niuean	0	0	24436	0	0	24436
Niuean	niu	typ:MassamSperlich:Niuean	0	0	5751	0	0	5751
Niuean	niu	typ:Massam:Niuean:2013	0	0	17747	0	0	17747
Niuean	niu	g:Seiter:Niuean	0	0	4448	0	0	4448
Niuean	niu	s:Polinskaya:Niue	0	0	9467	0	0	9467
Niuean	niu	sd:TregearSmith:Niue	0	0	505	0	0	505
Nivkh	niv	s:Beffa:Nivx	0	0	15098	0	0	15098
Nivkh	niv	s:Krejnovic:Nivxskij	0	0	65516	0	0	65516
Nivkh	niv	s:Nakanome:Nikbun	0	0	10766	0	0	10766
Nivkh	niv	g:Panfilov:Nivx	0	0	329151	0	0	329151
Nivkh	niv	g:NedjalkovOtaina:Nivkh	0.00020056	24	119665	0	0	119665
Nivkh	niv	s:Gruzdeva:Nivkh	0	0	27154	0	0	27154
Nivkh	niv	s:Panfilov:Nivxskij	0	0	44099	0	0	44099
Ngiti	niy	g:Kutsch:Ngiti	1.20E-05	2	166013	0	0	175224
Nocte Naga	njb	s:Mongchan:Nokte	0	0	47921	0	0	47921
Nocte Naga	njb	g:Boro:Hakhun-Tangsa	0	0	154802	0	0	154802
Nocte Naga	njb	s:DasGupta:Nocte	0	0	23112	0	0	23112
Nocte Naga	njb	typ:Mongchan:Nocte	0	0	10747	0	0	10747
Lotha Naga	njh	g:Witter:LhotaNaga	0	0	505	0	0	505
Lotha Naga	njh	es:Mills:Lhota	0	0	120916	0	0	120916
Lotha Naga	njh	g:Acharya:Lotha	0	0	31015	0	0	31015
Angami Naga	njm	typ:Patnaik:Angami	0	0	3130	0	0	3130
Angami Naga	njm	es:Hutton:Angami	0	0	177188	0	0	177188
Angami Naga	njm	s:McCabe:Angami-Naga	0	0	505	0	0	505
Angami Naga	njm	s:Rivenburg:Angami-Naga:Primer	0	0	21679	0	0	21679
Angami Naga	njm	s:Giridhar:Angami	0	0	30715	0	0	30715
Liangmai Naga	njn	s:Molta:Liangmai	0	0	4190	0	0	4190
Ao Naga	njo	s:Gowda:Ao	0	0	14177	0	0	14177
Ao Naga	njo	g:Coupe:Mongsen-Ao	0	0	197486	0	0	197486
Ao Naga	njo	typ:Nishida:Ao-Naga	0	0	5986	0	0	5986
Ao Naga	njo	g:Clark:Ao-Naga	0	0	44529	0	0	44529
Ao Naga	njo	s:Avery:Ao-Naga	0	0	8517	0	0	8517
Njerep	njr	s:ConnellZeitlyn:Njerep	0	0	10471	0	0	10471
Ndyuka-Trio Pidgin	njt	vtyp:MeiraMuysken:Trio-Ndyuka	6.04E-06	1	165693	0	0	165693
Ndyuka-Trio Pidgin	njt	s:Huttar:Creole-Amerindian	0	0	3627	0	0	3627
Ndyuka-Trio Pidgin	njt	s:HuttarVelantie:Ndyuka-Trio	0	0	8443	0	0	8443
Ngadjunmaya	nju	std:vonBrandenstein:Ngadjumaja	0	0	30030	0	0	30030
Kunyi	njx	phontyp:Goma:Kikuni	0	0	34820	0	0	34820
Njyem	njy	g:Wuchu:Njem	0	0	49435	0	0	49435
Nyishi-Hill Miri	njz	s:Goswami:Nishing	0	0	21217	0	0	21217
Nyishi-Hill Miri	njz	s:Simon:Hill-Miri	0	0	12948	0	0	12948
Nyishi-Hill Miri	njz	s:Bor:Yano-Dafla	0	0	15596	0	0	15596
